GEOID_Data,one_or_less,more_than_one,white_one_or_less,white_more_than_one,black_one_or_less,black_more_than_one,other_one_or_less,other_more_than_one,nhisp_white_one_or_less,nhisp_white_more_than_one,hisp_one_or_less,hisp_more_than_one,nhisp_one_or_less,nhisp_more_than_one
14000US17031580700,0.9239065308568005,0.07609346914319952,0.9217758985200846,0.07822410147991543,1.0,0.0,0.920844327176781,0.079155672823219,1.0,0.0,0.9040060468631897,0.09599395313681028,1.0,0.0
14000US17031681300,0.9593023255813954,0.040697674418604654,,,0.957983193277311,0.04201680672268908,1.0,0.0,,,1.0,0.0,0.9585308056872038,0.041469194312796206
14000US17031681400,1.0,0.0,1.0,0.0,1.0,0.0,,,,,1.0,0.0,1.0,0.0
14000US17031690300,0.993368700265252,0.006631299734748011,,,0.993368700265252,0.006631299734748011,,,,,1.0,0.0,0.9933422103861518,0.006657789613848202
14000US17031690500,1.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0
14000US17031690900,0.9919050188882893,0.008094981111710739,1.0,0.0,0.9915730337078652,0.008426966292134831,1.0,0.0,,,1.0,0.0,0.9917853231106243,0.008214676889375685
14000US17031691000,0.9675967596759676,0.032403240324032405,,,0.9660377358490566,0.033962264150943396,1.0,0.0,,,1.0,0.0,0.9668813247470102,0.03311867525298988
14000US17031700100,0.9445506692160612,0.055449330783938815,0.8082191780821918,0.1917808219178082,1.0,0.0,0.8832116788321168,0.11678832116788321,,,0.8122977346278317,0.18770226537216828,1.0,0.0
14000US17031700200,0.9330499468650372,0.0669500531349628,0.8744186046511628,0.12558139534883722,1.0,0.0,0.9507119386637459,0.04928806133625411,1.0,0.0,0.9044006069802731,0.09559939301972686,1.0,0.0
14000US17031320600,0.9653600729261622,0.03463992707383774,0.959748427672956,0.04025157232704402,1.0,0.0,0.971875,0.028125,0.9547383309759547,0.04526166902404526,1.0,0.0,0.9607977991746905,0.039202200825309494
14000US17031330200,0.9951768488745981,0.00482315112540193,0.9899665551839465,0.010033444816053512,1.0,0.0,1.0,0.0,0.9897843359818388,0.01021566401816118,1.0,0.0,0.9950953678474115,0.004904632152588556
14000US17031590500,0.9691444600280504,0.030855539971949508,1.0,0.0,1.0,0.0,0.945,0.055,1.0,0.0,1.0,0.0,0.9494252873563218,0.05057471264367816
14000US17031590600,0.9448934606906686,0.055106539309331376,0.9740566037735849,0.025943396226415096,1.0,0.0,0.9308855291576674,0.06911447084233262,0.9605734767025089,0.03942652329749104,0.9431524547803618,0.056847545219638244,0.9471890971039182,0.05281090289608177
14000US17031671200,0.9343065693430657,0.06569343065693431,1.0,0.0,0.9310344827586207,0.06896551724137931,,,1.0,0.0,,,0.9343065693430657,0.06569343065693431
14000US17031671100,1.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0
14000US17031671300,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,1.0,0.0,1.0,0.0
14000US17031671500,0.9811738648947951,0.018826135105204873,1.0,0.0,0.9793939393939394,0.020606060606060607,1.0,0.0,,,1.0,0.0,0.9793939393939394,0.020606060606060607
14000US17031671600,0.9955223880597015,0.004477611940298508,1.0,0.0,0.9953846153846154,0.004615384615384616,1.0,0.0,1.0,0.0,1.0,0.0,0.9954198473282443,0.004580152671755725
14000US17031671800,0.9898477157360406,0.01015228426395939,1.0,0.0,0.9893333333333333,0.010666666666666666,1.0,0.0,,,1.0,0.0,0.9895561357702349,0.010443864229765013
14000US17031671900,0.9026548672566371,0.09734513274336283,0.4827586206896552,0.5172413793103449,1.0,0.0,0.7230769230769231,0.27692307692307694,1.0,0.0,0.5,0.5,1.0,0.0
14000US17031710100,0.9704251386321626,0.029574861367837338,,,0.9700934579439252,0.029906542056074768,1.0,0.0,,,1.0,0.0,0.9700934579439252,0.029906542056074768
